,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
0,Alameda County Office of Education,170.0,0.0,,,,,,0.0,216,0,,,,,,0.0
1,Alameda Unified,919.0,155.0,27.0,26.0,26.0,25.0,0.86,0.16866158868335146,928,103,26.0,26.0,25.0,25.0,0.84,0.11099137931034483
2,Albany City Unified,307.0,58.0,28.0,27.0,27.0,26.0,0.88,0.18892508143322476,258,29,28.0,29.0,26.0,26.0,0.93,0.1124031007751938
3,Berkeley Unified,820.0,227.0,26.0,25.0,25.0,24.0,0.73,0.27682926829268295,825,183,25.0,26.0,24.0,25.0,0.72,0.22181818181818183
4,Castro Valley Unified,737.0,106.0,26.0,25.0,25.0,25.0,0.77,0.14382632293080055,781,99,25.0,26.0,25.0,25.0,0.83,0.1267605633802817
5,Emery Unified,40.0,0.0,,,,,,0.0,57,4,,,,,,0.07017543859649122
6,Fremont Unified,2537.0,511.0,29.0,30.0,30.0,29.0,0.93,0.20141899881750097,2608,471,31.0,30.0,30.0,29.0,0.93,0.18059815950920247
7,Hayward Unified,1601.0,256.0,19.0,19.0,19.0,19.0,0.36,0.1599000624609619,1699,225,19.0,20.0,19.0,20.0,0.4,0.13243084167157151
8,Livermore Valley Joint Unified,1128.0,249.0,26.0,25.0,25.0,25.0,0.81,0.22074468085106383,1148,173,25.0,26.0,26.0,25.0,0.85,0.15069686411149827
9,Newark Unified,460.0,31.0,22.0,22.0,22.0,22.0,0.71,0.06739130434782609,462,29,24.0,24.0,23.0,23.0,0.69,0.06277056277056277
10,New Haven Unified,1043.0,132.0,24.0,23.0,24.0,24.0,0.68,0.12655800575263662,1057,114,24.0,25.0,25.0,24.0,0.76,0.10785241248817408
11,Oakland Unified,3663.0,809.0,19.0,18.0,19.0,19.0,0.34,0.22085722085722087,3663,762,17.0,18.0,18.0,18.0,0.27,0.20802620802620803
12,Piedmont City Unified,231.0,116.0,30.0,31.0,29.0,29.0,0.95,0.5021645021645021,210,99,30.0,30.0,28.0,29.0,0.95,0.4714285714285714
13,San Leandro Unified,754.0,78.0,22.0,21.0,21.0,22.0,0.56,0.10344827586206896,727,64,20.0,22.0,20.0,21.0,0.48,0.08803301237964237
14,San Lorenzo Unified,1099.0,189.0,21.0,21.0,21.0,21.0,0.49,0.17197452229299362,1014,196,21.0,21.0,21.0,21.0,0.51,0.1932938856015779
15,Dublin Unified,695.0,216.0,28.0,28.0,28.0,27.0,0.87,0.3107913669064748,789,203,27.0,27.0,27.0,27.0,0.84,0.2572877059569075
16,Pleasanton Unified,1251.0,476.0,29.0,29.0,28.0,28.0,0.91,0.38049560351718625,1279,411,29.0,29.0,28.0,28.0,0.92,0.32134480062548865
17,Amador County Office of Education,15.0,0.0,,,,,,0.0,31,0,,,,,,0.0
18,Amador County Unified,290.0,37.0,24.0,23.0,23.0,22.0,0.78,0.12758620689655173,319,35,22.0,24.0,22.0,23.0,0.69,0.109717868338558
19,Butte County Office of Education,207.0,10.0,,,,,,0.04830917874396135,187,0,,,,,,0.0
20,Biggs Unified,57.0,5.0,,,,,,0.08771929824561403,47,1,,,,,,0.02127659574468085
21,Chico Unified,1175.0,137.0,24.0,23.0,24.0,24.0,0.72,0.11659574468085106,1135,76,26.0,27.0,27.0,25.0,0.83,0.06696035242290749
22,Durham Unified,72.0,3.0,,,,,,0.041666666666666664,72,6,,,,,,0.08333333333333333
23,Oroville Union High,521.0,33.0,21.0,19.0,20.0,20.0,0.39,0.06333973128598848,517,14,,,,,,0.027079303675048357
24,Paradise Unified,328.0,23.0,23.0,21.0,24.0,23.0,0.74,0.0701219512195122,212,7,,,,,,0.0330188679245283
25,Gridley Unified,175.0,15.0,22.0,22.0,24.0,22.0,0.6,0.08571428571428572,165,21,21.0,23.0,22.0,21.0,0.62,0.12727272727272726
26,Calaveras County Office of Education,65.0,0.0,,,,,,0.0,65,0,,,,,,0.0
27,Bret Harte Union High,170.0,12.0,,,,,,0.07058823529411765,155,8,,,,,,0.05161290322580645
28,Calaveras Unified,216.0,19.0,25.0,22.0,24.0,23.0,0.84,0.08796296296296297,212,18,23.0,23.0,23.0,23.0,0.78,0.08490566037735849
29,Colusa Unified,109.0,5.0,,,,,,0.045871559633027525,120,8,,,,,,0.06666666666666667
30,Maxwell Unified,29.0,0.0,,,,,,0.0,26,0,,,,,,0.0
31,Pierce Joint Unified,107.0,16.0,19.0,17.0,19.0,19.0,0.31,0.14953271028037382,107,13,,,,,,0.12149532710280374
32,Williams Unified,87.0,5.0,,,,,,0.05747126436781609,97,2,,,,,,0.020618556701030927
33,Contra Costa County Office of Education,771.0,153.0,24.0,23.0,23.0,23.0,0.7,0.19844357976653695,899,102,18.0,19.0,18.0,18.0,0.31,0.11345939933259176
34,Acalanes Union High,1408.0,539.0,29.0,28.0,27.0,27.0,0.9,0.3828125,1385,504,28.0,29.0,27.0,27.0,0.91,0.36389891696750903
35,Antioch Unified,1543.0,117.0,22.0,20.0,20.0,20.0,0.42,0.07582631237848347,1410,66,21.0,22.0,20.0,21.0,0.5,0.04680851063829787
36,Byron Union Elementary,104.0,5.0,,,,,,0.04807692307692308,77,0,,,,,,0.0
37,John Swett Unified,123.0,13.0,,,,,,0.10569105691056911,148,12,,,,,,0.08108108108108109
38,Liberty Union High,2138.0,284.0,24.0,23.0,22.0,23.0,0.64,0.13283442469597756,2090,245,22.0,24.0,22.0,22.0,0.68,0.11722488038277512
39,Martinez Unified,349.0,42.0,25.0,23.0,24.0,23.0,0.74,0.12034383954154727,315,28,24.0,25.0,24.0,24.0,0.86,0.08888888888888889
40,Mt. Diablo Unified,2145.0,323.0,25.0,25.0,25.0,24.0,0.75,0.15058275058275059,2260,290,24.0,25.0,24.0,24.0,0.71,0.12831858407079647
41,Pittsburg Unified,840.0,155.0,19.0,19.0,19.0,19.0,0.29,0.18452380952380953,938,137,19.0,20.0,19.0,20.0,0.38,0.1460554371002132
42,West Contra Costa Unified,2520.0,475.0,19.0,18.0,18.0,18.0,0.27,0.1884920634920635,2579,422,19.0,20.0,19.0,19.0,0.35,0.16362931368747577
43,San Ramon Valley Unified,2652.0,1077.0,28.0,28.0,27.0,27.0,0.9,0.4061085972850679,2748,962,28.0,28.0,28.0,27.0,0.91,0.3500727802037846
44,Del Norte County Office of Education,117.0,0.0,,,,,,0.0,100,0,,,,,,0.0
45,Del Norte County Unified,246.0,5.0,,,,,,0.02032520325203252,244,32,20.0,21.0,21.0,21.0,0.53,0.13114754098360656
46,El Dorado County Office of Education,225.0,2.0,,,,,,0.008888888888888889,195,0,,,,,,0.0
47,Buckeye Union Elementary,25.0,0.0,,,,,,0.0,49,0,,,,,,0.0
