,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
1,Alameda Unified,919.0,155.0,27.0,26.0,26.0,25.0,0.86,0.16866158868335146,32.25,13436.0,104756.0,0.065,0.003,0.253,0.055,0.182,0.006,0.276,0.132,0.027999999999999997
2,Albany City Unified,307.0,58.0,28.0,27.0,27.0,26.0,0.88,0.18892508143322476,20.89,13548.0,95783.0,0.034,0.002,0.28800000000000003,0.011000000000000001,0.165,0.001,0.28800000000000003,0.14,0.07200000000000001
3,Berkeley Unified,820.0,227.0,26.0,25.0,25.0,24.0,0.73,0.27682926829268295,32.14,17280.0,85444.0,0.127,0.003,0.083,0.008,0.221,0.001,0.413,0.141,0.001
4,Castro Valley Unified,737.0,106.0,26.0,25.0,25.0,25.0,0.77,0.14382632293080055,34.46,11860.0,114277.0,0.049,0.001,0.295,0.046,0.23399999999999999,0.004,0.243,0.1,0.027999999999999997
6,Fremont Unified,2537.0,511.0,29.0,30.0,30.0,29.0,0.93,0.20141899881750097,58.64,11629.0,133339.0,0.018000000000000002,0.003,0.6579999999999999,0.047,0.142,0.006,0.09,0.03,0.008
7,Hayward Unified,1601.0,256.0,19.0,19.0,19.0,19.0,0.36,0.1599000624609619,14.72,14523.0,86336.0,0.078,0.002,0.084,0.07,0.647,0.032,0.045,0.04,0.004
8,Livermore Valley Joint Unified,1128.0,249.0,26.0,25.0,25.0,25.0,0.81,0.22074468085106383,55.38,12373.0,127200.0,0.012,0.004,0.10300000000000001,0.028999999999999998,0.32,0.003,0.441,0.086,0.002
9,Newark Unified,460.0,31.0,22.0,22.0,22.0,22.0,0.71,0.06739130434782609,44.09,12769.0,116856.0,0.028999999999999998,0.003,0.16699999999999998,0.09,0.521,0.018000000000000002,0.105,0.052000000000000005,0.016
10,New Haven Unified,1043.0,132.0,24.0,23.0,24.0,24.0,0.68,0.12655800575263662,34.82,12269.0,112496.0,0.046,0.006,0.259,0.192,0.373,0.016,0.059000000000000004,0.05,0.0
11,Oakland Unified,3663.0,809.0,19.0,18.0,19.0,19.0,0.34,0.22085722085722087,5.1,15652.0,73561.0,0.217,0.002,0.115,0.008,0.478,0.008,0.098,0.051,0.022000000000000002
12,Piedmont City Unified,231.0,116.0,30.0,31.0,29.0,29.0,0.95,0.5021645021645021,222.24,17680.0,224205.0,0.015,0.0,0.133,0.008,0.096,0.0,0.564,0.183,0.001
13,San Leandro Unified,754.0,78.0,22.0,21.0,21.0,22.0,0.56,0.10344827586206896,6.72,12979.0,78181.0,0.11699999999999999,0.002,0.17,0.066,0.486,0.01,0.08,0.053,0.015
14,San Lorenzo Unified,1099.0,189.0,21.0,21.0,21.0,21.0,0.49,0.17197452229299362,0.31,13748.0,79082.0,0.08199999999999999,0.003,0.161,0.067,0.5660000000000001,0.016,0.067,0.031,0.006999999999999999
15,Dublin Unified,695.0,216.0,28.0,28.0,28.0,27.0,0.87,0.3107913669064748,76.64,10903.0,150299.0,0.028999999999999998,0.001,0.58,0.05,0.09300000000000001,0.004,0.17,0.073,0.001
16,Pleasanton Unified,1251.0,476.0,29.0,29.0,28.0,28.0,0.91,0.38049560351718625,92.66,12065.0,156342.0,0.013999999999999999,0.001,0.475,0.018000000000000002,0.1,0.002,0.33,0.055,0.006
18,Amador County Unified,290.0,37.0,24.0,23.0,23.0,22.0,0.78,0.12758620689655173,48.41,9890.0,62772.0,0.004,0.021,0.004,0.005,0.231,0.002,0.6559999999999999,0.069,0.008
21,Chico Unified,1175.0,137.0,24.0,23.0,24.0,24.0,0.72,0.11659574468085106,32.0,13350.0,57611.0,0.021,0.012,0.045,0.005,0.256,0.004,0.574,0.062,0.021
24,Oroville Union High,521.0,33.0,21.0,19.0,20.0,20.0,0.39,0.06333973128598848,48.88,13883.0,42445.0,0.040999999999999995,0.078,0.127,0.006,0.21899999999999997,0.004,0.483,0.035,0.009000000000000001
25,Paradise Unified,328.0,23.0,23.0,21.0,24.0,23.0,0.74,0.0701219512195122,49.16,12089.0,51214.0,0.006,0.017,0.005,0.004,0.135,0.0,0.768,0.065,0.001
26,Gridley Unified,175.0,15.0,22.0,22.0,24.0,22.0,0.6,0.08571428571428572,42.64,12109.0,55942.0,0.005,0.002,0.025,0.0,0.5760000000000001,0.001,0.34,0.01,0.039
29,Calaveras Unified,216.0,19.0,25.0,22.0,24.0,23.0,0.84,0.08796296296296297,28.76,12559.0,63967.0,0.006999999999999999,0.016,0.006999999999999999,0.004,0.231,0.0,0.664,0.065,0.006999999999999999
32,Pierce Joint Unified,107.0,16.0,19.0,17.0,19.0,19.0,0.31,0.14953271028037382,41.82,11147.0,61359.0,0.009000000000000001,0.001,0.012,0.002,0.7829999999999999,0.001,0.17300000000000001,0.013000000000000001,0.005
35,Acalanes Union High,1408.0,539.0,29.0,28.0,27.0,27.0,0.9,0.3828125,77.56,15267.0,129146.0,0.016,0.002,0.14,0.022000000000000002,0.10300000000000001,0.001,0.637,0.07,0.009000000000000001
36,Antioch Unified,1543.0,117.0,22.0,20.0,20.0,20.0,0.42,0.07582631237848347,6.29,13551.0,75642.0,0.244,0.006,0.042,0.045,0.47600000000000003,0.015,0.121,0.051,0.001
39,Liberty Union High,2138.0,284.0,24.0,23.0,22.0,23.0,0.64,0.13283442469597756,29.63,12113.0,109430.0,0.086,0.006,0.049,0.055999999999999994,0.368,0.006999999999999999,0.37200000000000005,0.048,0.008
