CDS,RType,SName,DName,CName,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year
01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,85,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01316170131763,S,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,85,26,13,15,16,16,2,7.69,2019-20
01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,49,3,*,*,*,*,*,*,2019-20
01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,34,2,*,*,*,*,*,*,2019-20
01611190130229,S,Alameda High,Alameda Unified,Alameda,462,71,27,27,26,25,64,90.14,2019-20
01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,51,5,*,*,*,*,*,*,2019-20
01611190130625,S,Alternatives in Action,Alameda Unified,Alameda,38,1,*,*,*,*,*,*,2019-20
01611190132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,222,21,24,26,25,24,17,80.95,2019-20
01611270130450,S,Albany High,Albany City Unified,Alameda,253,29,28,29,26,26,27,93.10,2019-20
01611430131177,S,Berkeley High,Berkeley Unified,Alameda,775,182,26,26,24,25,132,72.53,2019-20
01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,669,99,25,26,25,25,82,82.83,2019-20
01611680132746,S,Emery Secondary,Emery Unified,Alameda,57,4,*,*,*,*,*,*,2019-20
01611760130062,S,American High,Fremont Unified,Alameda,537,112,29,29,29,28,100,89.29,2019-20
01611760130534,S,Circle of Independent Learning,Fremont Unified,Alameda,69,4,*,*,*,*,*,*,2019-20
01611760134270,S,Irvington High,Fremont Unified,Alameda,524,119,31,31,31,30,114,95.80,2019-20
01611760134452,S,John F. Kennedy High,Fremont Unified,Alameda,346,24,27,27,27,27,18,75.00,2019-20
01611760135244,S,Mission San Jose High,Fremont Unified,Alameda,479,147,32,32,32,31,143,97.28,2019-20
01611760138693,S,Washington High,Fremont Unified,Alameda,472,65,30,30,29,28,61,93.85,2019-20
01611920108670,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,141,128,19,19,18,19,42,32.81,2019-20
01611920127944,S,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,40,3,*,*,*,*,*,*,2019-20
01611920133629,S,Hayward High,Hayward Unified,Alameda,330,29,20,22,22,21,16,55.17,2019-20
01611920135319,S,Mt. Eden High,Hayward Unified,Alameda,470,43,20,22,20,21,24,55.81,2019-20
01611920137646,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,113,10,*,*,*,*,*,*,2019-20
01611920138339,S,Tennyson High,Hayward Unified,Alameda,362,12,*,*,*,*,*,*,2019-20
01612000130393,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,38,1,*,*,*,*,*,*,2019-20
01612000133397,S,Granada High,Livermore Valley Joint Unified,Alameda,563,104,25,26,25,25,89,85.58,2019-20
01612000134536,S,Livermore High,Livermore Valley Joint Unified,Alameda,461,68,26,27,26,26,58,85.29,2019-20
01612340130054,S,Newark Memorial High,Newark Unified,Alameda,398,29,24,24,23,23,20,68.97,2019-20
01612420126763,S,Decoto School for Independent Study,New Haven Unified,Alameda,51,1,*,*,*,*,*,*,2019-20
01612420134668,S,James Logan High,New Haven Unified,Alameda,908,113,24,25,25,24,86,76.11,2019-20
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,83,67,15,17,18,17,7,10.45,2019-20
01612590100701,S,MetWest High,Oakland Unified,Alameda,40,8,*,*,*,*,*,*,2019-20
01612590106906,S,Bay Area Technology,Oakland Unified,Alameda,25,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590108944,S,Lighthouse Community Charter High,Oakland Unified,Alameda,62,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590110189,S,McClymonds High,Oakland Unified,Alameda,89,34,12,14,14,13,0,0.00,2019-20
01612590111856,S,American Indian Public High,Oakland Unified,Alameda,56,4,*,*,*,*,*,*,2019-20
01612590112797,S,Coliseum College Prep Academy,Oakland Unified,Alameda,64,8,*,*,*,*,*,*,2019-20
01612590114868,S,Oakland Charter High,Oakland Unified,Alameda,109,23,23,23,24,23,16,69.57,2019-20
01612590115238,S,ARISE High,Oakland Unified,Alameda,68,2,*,*,*,*,*,*,2019-20
01612590115386,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,51,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590115667,S,Oakland International High,Oakland Unified,Alameda,94,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590118224,S,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,71,95,14,14,16,15,4,4.21,2019-20
01612590119859,S,Gateway to College at Laney College,Oakland Unified,Alameda,65,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590125161,S,Castlemont High,Oakland Unified,Alameda,187,14,*,*,*,*,*,*,2019-20
01612590125716,S,Fremont High,Oakland Unified,Alameda,172,28,13,16,15,16,2,7.14,2019-20
01612590126748,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,98,88,14,15,15,15,8,9.09,2019-20
01612590129932,S,East Bay Innovation Academy,Oakland Unified,Alameda,36,1,*,*,*,*,*,*,2019-20
01612590130179,S,Street Academy (Alternative),Oakland Unified,Alameda,32,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590130575,S,LIFE Academy,Oakland Unified,Alameda,63,44,14,15,16,17,2,4.55,2019-20
