,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
1,Alameda Unified,928,103,26.0,26.0,25.0,25.0,0.84,0.11099137931034483,32.25,13436.0,104756.0,0.065,0.003,0.253,0.055,0.182,0.006,0.276,0.132,0.027999999999999997
2,Albany City Unified,258,29,28.0,29.0,26.0,26.0,0.93,0.1124031007751938,20.89,13548.0,95783.0,0.034,0.002,0.28800000000000003,0.011000000000000001,0.165,0.001,0.28800000000000003,0.14,0.07200000000000001
3,Berkeley Unified,825,183,25.0,26.0,24.0,25.0,0.72,0.22181818181818183,32.14,17280.0,85444.0,0.127,0.003,0.083,0.008,0.221,0.001,0.413,0.141,0.001
4,Castro Valley Unified,781,99,25.0,26.0,25.0,25.0,0.83,0.1267605633802817,34.46,11860.0,114277.0,0.049,0.001,0.295,0.046,0.23399999999999999,0.004,0.243,0.1,0.027999999999999997
6,Fremont Unified,2608,471,31.0,30.0,30.0,29.0,0.93,0.18059815950920247,58.64,11629.0,133339.0,0.018000000000000002,0.003,0.6579999999999999,0.047,0.142,0.006,0.09,0.03,0.008
7,Hayward Unified,1699,225,19.0,20.0,19.0,20.0,0.4,0.13243084167157151,14.72,14523.0,86336.0,0.078,0.002,0.084,0.07,0.647,0.032,0.045,0.04,0.004
8,Livermore Valley Joint Unified,1148,173,25.0,26.0,26.0,25.0,0.85,0.15069686411149827,55.38,12373.0,127200.0,0.012,0.004,0.10300000000000001,0.028999999999999998,0.32,0.003,0.441,0.086,0.002
9,Newark Unified,462,29,24.0,24.0,23.0,23.0,0.69,0.06277056277056277,44.09,12769.0,116856.0,0.028999999999999998,0.003,0.16699999999999998,0.09,0.521,0.018000000000000002,0.105,0.052000000000000005,0.016
10,New Haven Unified,1057,114,24.0,25.0,25.0,24.0,0.76,0.10785241248817408,34.82,12269.0,112496.0,0.046,0.006,0.259,0.192,0.373,0.016,0.059000000000000004,0.05,0.0
11,Oakland Unified,3663,762,17.0,18.0,18.0,18.0,0.27,0.20802620802620803,5.1,15652.0,73561.0,0.217,0.002,0.115,0.008,0.478,0.008,0.098,0.051,0.022000000000000002
12,Piedmont City Unified,210,99,30.0,30.0,28.0,29.0,0.95,0.4714285714285714,222.24,17680.0,224205.0,0.015,0.0,0.133,0.008,0.096,0.0,0.564,0.183,0.001
13,San Leandro Unified,727,64,20.0,22.0,20.0,21.0,0.48,0.08803301237964237,6.72,12979.0,78181.0,0.11699999999999999,0.002,0.17,0.066,0.486,0.01,0.08,0.053,0.015
14,San Lorenzo Unified,1014,196,21.0,21.0,21.0,21.0,0.51,0.1932938856015779,0.31,13748.0,79082.0,0.08199999999999999,0.003,0.161,0.067,0.5660000000000001,0.016,0.067,0.031,0.006999999999999999
15,Dublin Unified,789,203,27.0,27.0,27.0,27.0,0.84,0.2572877059569075,76.64,10903.0,150299.0,0.028999999999999998,0.001,0.58,0.05,0.09300000000000001,0.004,0.17,0.073,0.001
16,Pleasanton Unified,1279,411,29.0,29.0,28.0,28.0,0.92,0.32134480062548865,92.66,12065.0,156342.0,0.013999999999999999,0.001,0.475,0.018000000000000002,0.1,0.002,0.33,0.055,0.006
18,Amador County Unified,319,35,22.0,24.0,22.0,23.0,0.69,0.109717868338558,48.41,9890.0,62772.0,0.004,0.021,0.004,0.005,0.231,0.002,0.6559999999999999,0.069,0.008
21,Chico Unified,1135,76,26.0,27.0,27.0,25.0,0.83,0.06696035242290749,32.0,13350.0,57611.0,0.021,0.012,0.045,0.005,0.256,0.004,0.574,0.062,0.021
25,Gridley Unified,165,21,21.0,23.0,22.0,21.0,0.62,0.12727272727272726,42.64,12109.0,55942.0,0.005,0.002,0.025,0.0,0.5760000000000001,0.001,0.34,0.01,0.039
28,Calaveras Unified,212,18,23.0,23.0,23.0,23.0,0.78,0.08490566037735849,28.76,12559.0,63967.0,0.006999999999999999,0.016,0.006999999999999999,0.004,0.231,0.0,0.664,0.065,0.006999999999999999
34,Acalanes Union High,1385,504,28.0,29.0,27.0,27.0,0.91,0.36389891696750903,77.56,15267.0,129146.0,0.016,0.002,0.14,0.022000000000000002,0.10300000000000001,0.001,0.637,0.07,0.009000000000000001
35,Antioch Unified,1410,66,21.0,22.0,20.0,21.0,0.5,0.04680851063829787,6.29,13551.0,75642.0,0.244,0.006,0.042,0.045,0.47600000000000003,0.015,0.121,0.051,0.001
