name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Alameda County Office of Education,"3,960",17.10%,0.40%,12.20%,1.30%,48.10%,1.00%,10.10%,8.60%,1.20%
Alameda Unified,"10,927",6.50%,0.30%,25.30%,5.50%,18.20%,0.60%,27.60%,13.20%,2.80%
Albany City Unified,"3,501",3.40%,0.20%,28.80%,1.10%,16.50%,0.10%,28.80%,14.00%,7.20%
Berkeley Unified,"9,409",12.70%,0.30%,8.30%,0.80%,22.10%,0.10%,41.30%,14.10%,0.10%
California School for the Blind (State Special Schl),58,13.80%,0.00%,12.10%,1.70%,51.70%,0.00%,19.00%,0.00%,1.70%
California School for the Deaf-Fremont (State Special Schl),318,5.30%,0.30%,10.40%,3.10%,55.30%,0.30%,20.10%,5.00%,0.00%
Castro Valley Unified,"9,203",4.90%,0.10%,29.50%,4.60%,23.40%,0.40%,24.30%,10.00%,2.80%
Dublin Unified,"12,625",2.90%,0.10%,58.00%,5.00%,9.30%,0.40%,17.00%,7.30%,0.10%
Emery Unified,698,45.10%,0.30%,11.00%,0.90%,24.20%,1.10%,8.60%,8.00%,0.70%
Fremont Unified,"35,187",1.80%,0.30%,65.80%,4.70%,14.20%,0.60%,9.00%,3.00%,0.80%
Hayward Unified,"21,638",7.80%,0.20%,8.40%,7.00%,64.70%,3.20%,4.50%,4.00%,0.40%
Livermore Valley Joint Unified,"13,305",1.20%,0.40%,10.30%,2.90%,32.00%,0.30%,44.10%,8.60%,0.20%
Mountain House Elementary,16,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,0.00%,0.00%
New Haven Unified,"10,812",4.60%,0.60%,25.90%,19.20%,37.30%,1.60%,5.90%,5.00%,0.00%
Newark Unified,"5,507",2.90%,0.30%,16.70%,9.00%,52.10%,1.80%,10.50%,5.20%,1.60%
Oakland Unified,"48,704",21.70%,0.20%,11.50%,0.80%,47.80%,0.80%,9.80%,5.10%,2.20%
Piedmont City Unified,"2,464",1.50%,0.00%,13.30%,0.80%,9.60%,0.00%,56.40%,18.30%,0.10%
Pleasanton Unified,"14,469",1.40%,0.10%,47.50%,1.80%,10.00%,0.20%,33.00%,5.50%,0.60%
San Leandro Unified,"8,828",11.70%,0.20%,17.00%,6.60%,48.60%,1.00%,8.00%,5.30%,1.50%
San Lorenzo Unified,"10,528",8.20%,0.30%,16.10%,6.70%,56.60%,1.60%,6.70%,3.10%,0.70%
SBE - Latitude 37.8 High,143,20.30%,0.70%,2.80%,1.40%,61.50%,0.70%,6.30%,6.30%,0.00%
Sunol Glen Unified,273,1.10%,0.00%,27.10%,1.10%,15.00%,0.70%,44.00%,11.00%,0.00%
Alpine County Unified,73,0.00%,41.10%,1.40%,1.40%,4.10%,0.00%,46.60%,5.50%,0.00%
