,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
1,Acalanes Union High,77.56,15267,129146,0.016,0.002,0.14,0.022000000000000002,0.10300000000000001,0.001,0.637,0.07,0.009000000000000001
2,Acton-Agua Dulce Unified,32.54,14318,100556,0.073,0.004,0.023,0.006,0.5429999999999999,0.002,0.271,0.055999999999999994,0.023
3,Adelanto Elementary,30.62,12993,60414,0.19,0.003,0.006999999999999999,0.006,0.655,0.006999999999999999,0.067,0.034,0.03
4,Alameda Unified,32.25,13436,104756,0.065,0.003,0.253,0.055,0.182,0.006,0.276,0.132,0.027999999999999997
5,Albany City Unified,20.89,13548,95783,0.034,0.002,0.28800000000000003,0.011000000000000001,0.165,0.001,0.28800000000000003,0.14,0.07200000000000001
6,Alexander Valley Union Elementary,85.03,21282,104583,0.017,0.0,0.0,0.0,0.33899999999999997,0.0,0.643,0.0,0.0
7,Alhambra Unified,20.86,14392,60647,0.006,0.001,0.501,0.024,0.409,0.001,0.021,0.027000000000000003,0.011000000000000001
8,Alisal Union,35.12,12215,60978,0.003,0.001,0.004,0.009000000000000001,0.935,0.001,0.013999999999999999,0.005,0.027999999999999997
9,Allensworth Elementary,71.76,12341,33214,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Alpaugh Unified,46.94,14458,41000,0.028999999999999998,0.001,0.012,0.003,0.5870000000000001,0.001,0.28800000000000003,0.079,0.0
11,Alpine County Unified,179.87,43481,63750,0.0,0.41100000000000003,0.013999999999999999,0.013999999999999999,0.040999999999999995,0.0,0.466,0.055,0.0
12,Alpine Union Elementary,7.61,10833,88263,0.013999999999999999,0.037000000000000005,0.005,0.004,0.29600000000000004,0.001,0.542,0.073,0.027000000000000003
13,Alta Loma Elementary,4.82,10389,99689,0.045,0.001,0.08,0.016,0.494,0.002,0.299,0.053,0.009000000000000001
14,Alta Vista Elementary,65.01,13211,33859,0.011000000000000001,0.008,0.011000000000000001,0.001,0.488,0.006,0.41100000000000003,0.042,0.022000000000000002
15,Alta-Dutch Flat Union Elementary,3.63,15515,73162,0.0,0.0,0.0,0.012,0.11,0.0,0.841,0.024,0.012
16,Alum Rock Union Elementary,17.27,16178,79946,0.01,0.003,0.121,0.047,0.785,0.004,0.016,0.013999999999999999,0.0
17,Alview-Dairyland Union Elementary,59.99,11259,47344,0.0,0.003,0.013999999999999999,0.005,0.569,0.0,0.39799999999999996,0.008,0.003
18,Alvord Unified,11.26,13771,70862,0.038,0.002,0.037000000000000005,0.015,0.8,0.005,0.087,0.013999999999999999,0.002
19,Amador County Unified,48.41,9890,62772,0.004,0.021,0.004,0.005,0.231,0.002,0.6559999999999999,0.069,0.008
20,Anaheim Elementary,18.57,13560,66504,0.013999999999999999,0.001,0.043,0.016,0.8490000000000001,0.004,0.045,0.011000000000000001,0.017
21,Anaheim Union High,14.19,13449,70303,0.021,0.001,0.135,0.040999999999999995,0.688,0.004,0.087,0.018000000000000002,0.003
22,Anderson Union High,39.02,12566,56332,0.008,0.057,0.034,0.002,0.195,0.001,0.654,0.034,0.015
23,Anderson Valley Unified,21.25,17184,46386,0.006999999999999999,0.005,0.0,0.0,0.809,0.0,0.17300000000000001,0.006999999999999999,0.0
24,Antelope Elementary,74.8,10943,37956,0.009000000000000001,0.023,0.006,0.002,0.231,0.004,0.69,0.031,0.004
25,Antelope Valley Union High,28.34,13693,58602,0.16399999999999998,0.002,0.012,0.013999999999999999,0.648,0.001,0.111,0.047,0.001
26,Antioch Unified,6.29,13551,75642,0.244,0.006,0.042,0.045,0.47600000000000003,0.015,0.121,0.051,0.001
27,Apple Valley Unified,55.27,10396,55159,0.077,0.005,0.019,0.005,0.511,0.005,0.34700000000000003,0.032,0.0
28,Arcadia Unified,11.57,12188,95684,0.017,0.001,0.647,0.032,0.161,0.001,0.107,0.027000000000000003,0.006999999999999999
29,Arcata Elementary,65.46,12660,36287,0.016,0.023,0.017,0.002,0.156,0.002,0.649,0.125,0.011000000000000001
30,Arcohe Union Elementary,6.49,11156,87477,0.015,0.006,0.034,0.002,0.423,0.004,0.451,0.06,0.004
31,Armona Union Elementary,42.79,13266,50043,0.031,0.006,0.012,0.01,0.703,0.003,0.21100000000000002,0.023,0.001
32,Aromas - San Juan Unified,9.83,12068,95000,0.005,0.011000000000000001,0.008,0.005,0.64,0.0,0.257,0.015,0.06
33,Arvin Union,57.44,13360,38721,0.009000000000000001,0.001,0.002,0.002,0.9590000000000001,0.0,0.025,0.0,0.001
34,Atascadero Unified,14.5,11288,80884,0.012,0.008,0.01,0.011000000000000001,0.284,0.001,0.629,0.035,0.01
35,Atwater Elementary,52.68,10756,55277,0.022000000000000002,0.006,0.034,0.003,0.753,0.002,0.156,0.023,0.0
