,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation
0,Castro Valley Unified,737.0,311.0,0.8970999999999999,0.7814,759.0,350.0,0.9343,0.8629000000000001,0.7524,0.008371,0.42198100407055633,0.461133069828722,781,329,0.9057999999999999,0.7659999999999999,786,154,0.961,0.9351,0.7204,0.9220999999999999,0.4212548015364917,0.19592875318066158
1,Maxwell Unified,29.0,10.0,,,26.0,6.0,,,,,0.3448275862068966,0.23076923076923078,26,8,,,23,9,,,,,0.3076923076923077,0.391304347826087
2,Contra Costa County Office of Education,771.0,295.0,0.8034,0.6068,887.0,453.0,0.8366,0.6645,0.5932,0.0064459999999999995,0.38261997405966275,0.5107102593010147,899,372,0.7608,0.5188,848,37,0.973,0.8378,0.5054,0.8378,0.41379310344827586,0.04363207547169811
3,San Ramon Valley Unified,2652.0,933.0,0.9561,0.8532,2699.0,1552.0,0.9762000000000001,0.9381,0.8414,0.009290999999999999,0.35180995475113125,0.5750277880696554,2748,1002,0.9511,0.8493,2760,838,0.9893000000000001,0.9761,0.8312999999999999,0.9714,0.3646288209606987,0.3036231884057971
4,Sanger Unified,850.0,335.0,0.6239,0.3761,813.0,223.0,0.7354,0.6233,0.34630000000000005,0.005516,0.3941176470588235,0.2742927429274293,857,260,0.5577000000000001,0.3346,854,80,0.8375,0.7875,0.2808,0.725,0.3033838973162194,0.0936768149882904
5,Upper Lake Unified,83.0,12.0,,,78.0,13.0,,,,,0.14457831325301204,0.16666666666666666,69,7,,,75,56,0.4643,0.10710000000000001,,0.10710000000000001,0.10144927536231885,0.7466666666666667
6,Bellflower Unified,953.0,263.0,0.7870999999999999,0.5246999999999999,955.0,211.0,0.8389,0.6825,0.4943,0.006445000000000001,0.2759706190975866,0.22094240837696336,998,226,0.7965000000000001,0.5,960,15,1.0,0.8667,0.48229999999999995,0.8667,0.22645290581162325,0.015625
7,West Covina Unified,1194.0,356.0,0.7809,0.5196999999999999,1153.0,279.0,0.8602,0.6774,0.4803,0.006416,0.2981574539363484,0.2419774501300954,1160,352,0.7898000000000001,0.5368999999999999,1100,26,0.8845999999999999,0.7308,0.4972,0.7308,0.30344827586206896,0.023636363636363636
8,San Rafael City High,634.0,245.0,0.7959,0.6,674.0,279.0,0.8961,0.7491,0.5796,0.007240000000000001,0.3864353312302839,0.413946587537092,733,234,0.8761,0.6325,715,34,0.9412,0.8824,0.6197,0.8529000000000001,0.31923601637107774,0.04755244755244755
9,Anderson Valley Unified,55.0,25.0,0.68,0.2,22.0,14.0,,,0.2,,0.45454545454545453,0.6363636363636364,22,5,,,37,1,,,,,0.22727272727272727,0.02702702702702703
10,North Monterey County Unified,369.0,111.0,0.5766,0.2703,329.0,68.0,0.6470999999999999,0.3824,0.2703,0.003529,0.3008130081300813,0.2066869300911854,330,91,0.49450000000000005,0.2198,360,3,,,0.20879999999999999,,0.27575757575757576,0.008333333333333333
11,Brea-Olinda Unified,506.0,205.0,0.9170999999999999,0.7512000000000001,433.0,142.0,0.9366,0.8944,0.722,0.008803,0.4051383399209486,0.3279445727482679,450,125,0.904,0.768,443,55,0.9818000000000001,0.9818000000000001,0.7440000000000001,0.9818000000000001,0.2777777777777778,0.12415349887133183
12,Orange Unified,2261.0,1870.0,0.5631,0.3791,2100.0,426.0,0.9412999999999999,0.7911,0.3583,0.007864,0.8270676691729323,0.20285714285714285,2152,1676,0.5095000000000001,0.3126,2199,153,0.9542,0.8954000000000001,0.30010000000000003,0.8889,0.7788104089219331,0.06957708049113233
13,Los Alamitos Unified,759.0,319.0,0.9154000000000001,0.7334999999999999,761.0,359.0,0.9443,0.8134,0.7116,0.00805,0.42028985507246375,0.47174770039421815,752,306,0.902,0.7059000000000001,803,119,0.9915999999999999,0.8992,0.6765000000000001,0.8992,0.40691489361702127,0.14819427148194272
14,Tahoe-Truckee Unified,303.0,105.0,0.7905,0.6667000000000001,306.0,145.0,0.8621,0.8207,0.619,0.007724,0.3465346534653465,0.4738562091503268,315,96,0.7604000000000001,0.6667000000000001,301,57,0.8946999999999999,0.8245999999999999,0.625,0.807,0.3047619047619048,0.1893687707641196
