,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
0,Fremont Unified,2537.0,845.0,0.9077,0.8225,2555.0,1396.0,0.9778,0.9462999999999999,0.8024,0.009398,0.33307055577453687,0.5463796477495108,58.64,11629.0,133339.0,0.018000000000000002,0.003,0.6579999999999999,0.047,0.142,0.006,0.09,0.03,0.008
1,Piedmont City Unified,231.0,78.0,0.8718,0.7948999999999999,208.0,97.0,1.0,0.9897,0.7820999999999999,0.009897,0.33766233766233766,0.46634615384615385,222.24,17680.0,224205.0,0.015,0.0,0.133,0.008,0.096,0.0,0.564,0.183,0.001
2,San Leandro Unified,754.0,193.0,0.715,0.4301,695.0,458.0,0.5218,0.3057,0.39899999999999997,0.002664,0.25596816976127323,0.6589928057553956,6.72,12979.0,78181.0,0.11699999999999999,0.002,0.17,0.066,0.486,0.01,0.08,0.053,0.015
3,Fresno Unified,4593.0,1048.0,0.583,0.3282,4751.0,3017.0,0.49979999999999997,0.2396,0.30820000000000003,0.0022570000000000003,0.22817330720661877,0.6350242054304357,44.87,14625.0,41704.0,0.08,0.006,0.107,0.004,0.687,0.004,0.08800000000000001,0.025,0.0
4,Mendota Unified,234.0,69.0,0.3333,0.1594,197.0,76.0,0.5658,0.31579999999999997,0.1304,0.002763,0.2948717948717949,0.38578680203045684,72.64,12746.0,30542.0,0.001,0.0,0.006999999999999999,0.0,0.975,0.0,0.015,0.001,0.002
6,Wasco Union High,453.0,184.0,0.43479999999999996,0.2609,416.0,29.0,0.6897,0.5861999999999999,0.21739999999999998,0.005516999999999999,0.40618101545253865,0.06971153846153846,63.09,12441.0,39137.0,0.012,0.0,0.002,0.001,0.943,0.0,0.042,0.0,0.001
8,Lynwood Unified,1072.0,285.0,0.5404,0.20350000000000001,1034.0,806.0,0.397,0.134,0.18600000000000003,0.001216,0.2658582089552239,0.7794970986460348,38.88,13451.0,52007.0,0.047,0.001,0.002,0.0,0.94,0.002,0.006,0.001,0.0
9,Whittier Union High,3048.0,1227.0,0.6911,0.46049999999999996,2789.0,799.0,0.7509,0.632,0.42460000000000003,0.005757,0.40255905511811024,0.28648261025457156,9.45,15862.0,75733.0,0.013000000000000001,0.002,0.013999999999999999,0.012,0.892,0.002,0.061,0.002,0.001
10,Rowland Unified,1186.0,386.0,0.7021,0.48960000000000004,1100.0,332.0,0.8133,0.7289,0.4508,0.006928,0.3254637436762226,0.3018181818181818,4.33,13586.0,76914.0,0.027000000000000003,0.001,0.201,0.067,0.6409999999999999,0.003,0.037000000000000005,0.016,0.006999999999999999
11,Tamalpais Union High,1233.0,435.0,0.9540000000000001,0.8345,1215.0,545.0,0.9798,0.9046,0.8299,0.008972,0.35279805352798055,0.448559670781893,114.04,19565.0,134656.0,0.019,0.003,0.047,0.006,0.142,0.004,0.6990000000000001,0.043,0.037000000000000005
16,Chaffey Joint Union High,6046.0,2437.0,0.6955,0.451,5831.0,2252.0,0.8064,0.6288,0.4239,0.005946,0.40307641415812107,0.38621162750814614,6.2,13298.0,76972.0,0.07400000000000001,0.004,0.068,0.021,0.647,0.005,0.153,0.024,0.004
17,Apple Valley Unified,1086.0,316.0,0.8101,0.3924,1015.0,363.0,0.7796,0.405,0.3734,0.0038840000000000003,0.29097605893186,0.35763546798029555,55.27,10396.0,55159.0,0.077,0.005,0.019,0.005,0.511,0.005,0.34700000000000003,0.032,0.0
18,Coronado Unified,294.0,152.0,0.9473999999999999,0.7565999999999999,294.0,167.0,0.976,0.9222,0.7434000000000001,0.009162,0.5170068027210885,0.5680272108843537,41.4,13948.0,108967.0,0.01,0.003,0.013999999999999999,0.018000000000000002,0.22699999999999998,0.005,0.581,0.08199999999999999,0.06
19,Grossmont Union High,5541.0,1514.0,0.7893000000000001,0.6209,5011.0,1651.0,0.8412999999999999,0.7456,0.5852,0.0069900000000000006,0.2732358780003609,0.3294751546597485,4.98,14539.0,71670.0,0.062,0.008,0.023,0.017,0.402,0.006999999999999999,0.423,0.054000000000000006,0.004
21,Tracy Joint Unified,1515.0,483.0,0.8012,0.5424,1621.0,353.0,0.898,0.7195,0.5114,0.007054,0.3188118811881188,0.2177668106107341,2.58,12026.0,89840.0,0.055,0.003,0.124,0.054000000000000006,0.5329999999999999,0.012,0.174,0.045,0.0
24,Milpitas Unified,829.0,335.0,0.8865999999999999,0.7731,827.0,379.0,0.9367,0.9024,0.7433,0.008654,0.4041013268998794,0.45828295042321643,61.17,12280.0,131954.0,0.017,0.003,0.529,0.149,0.19699999999999998,0.004,0.042,0.055999999999999994,0.002
25,Santa Cruz City High,862.0,287.0,0.8223,0.6725,824.0,351.0,0.8946,0.792,0.6376,0.007664,0.3329466357308585,0.42597087378640774,46.82,287.0,111992.0,0.019,0.004,0.028999999999999998,0.008,0.385,0.002,0.512,0.04,0.0
26,Waterford Unified,359.0,66.0,0.6515000000000001,0.303,297.0,47.0,0.8085,0.7447,0.2727,0.0070209999999999995,0.18384401114206128,0.15824915824915825,24.2,13966.0,60304.0,0.017,0.005,0.032,0.003,0.546,0.001,0.354,0.034,0.006999999999999999
27,Red Bluff Joint Union High,372.0,46.0,0.7609,0.6522,421.0,70.0,0.8,0.7570999999999999,0.6304,0.006856999999999999,0.12365591397849462,0.166270783847981,45.64,14141.0,43553.0,0.009000000000000001,0.027999999999999997,0.008,0.001,0.341,0.002,0.5710000000000001,0.04,0.001
29,Livermore Valley Joint Unified,1128.0,315.0,0.8856999999999999,0.7809999999999999,1119.0,379.0,0.9736,0.8892,0.7333,0.008759999999999999,0.27925531914893614,0.3386952636282395,55.38,12373.0,127200.0,0.012,0.004,0.10300000000000001,0.028999999999999998,0.32,0.003,0.441,0.086,0.002
31,El Dorado Union High,1609.0,526.0,0.9183,0.7928000000000001,1648.0,620.0,0.9434999999999999,0.9113,0.7681,0.008870999999999999,0.326911124922312,0.3762135922330097,5.97,12260.0,91182.0,0.01,0.009000000000000001,0.053,0.013999999999999999,0.17600000000000002,0.003,0.6759999999999999,0.055999999999999994,0.002
32,Sierra Unified,103.0,28.0,0.9286,0.5357,94.0,23.0,0.8261,0.6522,0.5357,0.006087,0.27184466019417475,0.24468085106382978,4.58,14484.0,72239.0,0.008,0.14400000000000002,0.006,0.006,0.187,0.0,0.61,0.037000000000000005,0.002
33,Eureka City Schools,347.0,58.0,0.8276,0.569,310.0,56.0,0.7321,0.6964,0.5517,0.006071,0.16714697406340057,0.18064516129032257,51.35,12986.0,45100.0,0.019,0.057,0.114,0.005,0.24100000000000002,0.013999999999999999,0.442,0.107,0.001
34,Holtville Unified,151.0,52.0,0.7885,0.3654,137.0,42.0,0.8571,0.4286,0.34619999999999995,0.004286,0.3443708609271523,0.30656934306569344,39.27,13842.0,49766.0,0.002,0.001,0.0,0.001,0.868,0.001,0.11699999999999999,0.009000000000000001,0.001
37,Las Virgenes Unified,986.0,337.0,0.9168999999999999,0.7537,984.0,390.0,0.9641,0.8615,0.7359,0.008487,0.34178498985801214,0.39634146341463417,55.45,11420.0,132023.0,0.019,0.005,0.064,0.009000000000000001,0.127,0.001,0.7070000000000001,0.057,0.011000000000000001
38,San Marino Unified,275.0,120.0,0.95,0.9333,265.0,164.0,0.9817,0.9756,0.9167000000000001,0.009634,0.43636363636363634,0.6188679245283019,108.59,14406.0,156429.0,0.006999999999999999,0.002,0.586,0.019,0.04,0.001,0.22699999999999998,0.113,0.006
40,Chawanakee Unified,154.0,47.0,0.6383,0.2553,156.0,47.0,0.7447,0.4255,0.2553,0.004043,0.3051948051948052,0.30128205128205127,37.27,11561.0,62656.0,0.006,0.065,0.015,0.0,0.22899999999999998,0.001,0.603,0.055999999999999994,0.027000000000000003
41,Ukiah Unified,525.0,91.0,0.8351999999999999,0.6593000000000001,486.0,101.0,0.8218000000000001,0.7525,0.6264,0.00703,0.17333333333333334,0.20781893004115226,35.05,13764.0,53277.0,0.006,0.051,0.009000000000000001,0.006,0.5329999999999999,0.0,0.35,0.04,0.004
42,Willits Unified,102.0,19.0,0.7368000000000001,0.36840000000000006,151.0,36.0,0.6111,0.4167,0.31579999999999997,0.003333,0.18627450980392157,0.23841059602649006,36.31,14219.0,50068.0,0.009000000000000001,0.051,0.006,0.001,0.317,0.001,0.41700000000000004,0.038,0.16
44,Delhi Unified,167.0,82.0,0.6098,0.1707,169.0,59.0,0.6779999999999999,0.22030000000000002,0.1707,0.002203,0.49101796407185627,0.34911242603550297,27.32,13804.0,58800.0,0.001,0.002,0.025,0.001,0.9109999999999999,0.002,0.052000000000000005,0.004,0.003
45,Monterey Peninsula Unified,854.0,536.0,0.5802,0.3713,808.0,250.0,0.688,0.504,0.33770000000000006,0.0046,0.6276346604215457,0.3094059405940594,17.6,12472.0,72666.0,0.055,0.005,0.046,0.045,0.614,0.022000000000000002,0.183,0.027999999999999997,0.003
46,Temecula Valley Unified,2453.0,1014.0,0.8511,0.5868,2417.0,1118.0,0.9043000000000001,0.7548999999999999,0.5650999999999999,0.007343000000000001,0.41337138198124745,0.4625568887050062,8.04,10666.0,100688.0,0.035,0.006999999999999999,0.046,0.051,0.353,0.003,0.405,0.099,0.001
47,Murrieta Valley Unified,2168.0,834.0,0.8106,0.5528,2088.0,866.0,0.8672,0.6801,0.5252,0.00657,0.38468634686346864,0.41475095785440613,4.33,11338.0,94577.0,0.054000000000000006,0.003,0.040999999999999995,0.037000000000000005,0.39899999999999997,0.006,0.369,0.081,0.01
48,Elk Grove Unified,5228.0,1884.0,0.7787000000000001,0.5929,4996.0,2088.0,0.8108,0.6925,0.5579,0.006652,0.3603672532517215,0.41793434747798236,7.49,12557.0,79728.0,0.109,0.004,0.265,0.059000000000000004,0.276,0.018000000000000002,0.175,0.09300000000000001,0.0
50,Yucaipa-Calimesa Joint Unified,739.0,227.0,0.7929999999999999,0.5947,734.0,205.0,0.8683,0.7023999999999999,0.5683,0.006683,0.3071718538565629,0.279291553133515,26.99,11758.0,69281.0,0.015,0.004,0.013999999999999999,0.006,0.45399999999999996,0.002,0.488,0.016,0.002
51,Carlsbad Unified,913.0,341.0,0.912,0.7713,888.0,433.0,0.9538,0.8476,0.7595000000000001,0.00836,0.37349397590361444,0.48761261261261263,10.93,11270.0,99805.0,0.01,0.003,0.057999999999999996,0.008,0.276,0.002,0.5539999999999999,0.09,0.0
53,Yreka Union High,150.0,41.0,0.7561,0.5854,154.0,32.0,0.9063,0.625,0.5366,0.00625,0.2733333333333333,0.2077922077922078,32.74,15302.0,47294.0,0.004,0.05,0.03,0.0,0.174,0.003,0.627,0.096,0.016
55,Live Oak Unified,143.0,36.0,0.6667000000000001,0.3333,153.0,53.0,0.6981,0.434,0.3056,0.004150999999999999,0.2517482517482518,0.3464052287581699,38.89,12518.0,56667.0,0.008,0.009000000000000001,0.109,0.002,0.589,0.004,0.268,0.011000000000000001,0.0
