CDS,CCode,CDCode,SCode,RType,SName,DName,CName,Enroll12,NumTSTTakr12,NumERWBenchmark12,PctERWBenchmark12,NumMathBenchmark12,PctMathBenchmark12,Enroll11,NumTSTTakr11,NumERWBenchmark11,PctERWBenchmark11,NumMathBenchmark11,PctMathBenchmark11,TotNumBothBenchmark12,PctBothBenchmark12,TotNumBothBenchmark11,PctBothBenchmark11,Year
19647251930411,19,1964725,1930411,S,Avalon K-12,Long Beach Unified,Los Angeles,39,18,15,83.33,7,38.89,36,0,N/A,N/A,N/A,N/A,7,38.89,N/A,N/A,2019-20
30103060133959,30,3010306,0133959,S,Unity Middle College High,Orange County Department of Education,Orange,24,5,*,*,*,*,26,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
33672073335973,33,3367207,3335973,S,Perris High,Perris Union High,Riverside,431,122,54,44.26,23,18.85,596,3,*,*,*,*,20,16.39,*,*,2019-20
33672153334406,33,3367215,3334406,S,John W. North High,Riverside Unified,Riverside,519,202,123,60.89,75,37.13,566,18,17,94.44,14,77.78,70,34.65,14,77.78,2019-20
39686270129916,39,3968627,0129916,S,Valley View Charter Prep,New Jerusalem Elementary,San Joaquin,23,6,*,*,*,*,24,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
39686276119309,39,3968627,6119309,S,Delta Charter,New Jerusalem Elementary,San Joaquin,89,6,*,*,*,*,94,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
48705400125310,48,4870540,0125310,S,Public Safety Academy,Fairfield-Suisun Unified,Solano,54,22,18,81.82,12,54.55,59,2,*,*,*,*,12,54.55,*,*,2019-20
19647330122333,19,1964733,0122333,S,"Math, Science, & Technology Magnet Academy at Roosevelt High",Los Angeles Unified,Los Angeles,136,81,54,66.67,33,40.74,138,111,67,60.36,48,43.24,30,37.04,45,40.54,2019-20
30664643030210,30,3066464,3030210,S,Capistrano Valley High,Capistrano Unified,Orange,550,120,108,90.00,84,70.00,485,67,65,97.01,64,95.52,82,68.33,63,94.03,2019-20
33751923330370,33,3375192,3330370,S,Temecula Valley High,Temecula Valley Unified,Riverside,705,274,223,81.39,157,57.30,737,61,59,96.72,55,90.16,151,55.11,55,90.16,2019-20
40688094036703,40,4068809,4036703,S,San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,376,154,138,89.61,125,81.17,377,40,40,100.00,37,92.50,123,79.87,37,92.50,2019-20
49706074930400,49,4970607,4930400,S,Analy High,West Sonoma County Union High,Sonoma,253,55,45,81.82,34,61.82,297,4,*,*,*,*,32,58.18,*,*,2019-20
04100410430090,04,0410041,0430090,S,Hearthstone,Butte County Office of Education,Butte,31,0,N/A,N/A,N/A,N/A,27,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
15634120100529,15,1563412,0100529,S,Cesar E. Chavez High,Delano Joint Union High,Kern,363,123,58,47.15,42,34.15,406,18,14,77.78,11,61.11,34,27.64,11,61.11,2019-20
19649801995737,19,1964980,1995737,S,Malibu High,Santa Monica-Malibu Unified,Los Angeles,147,104,88,84.62,58,55.77,148,18,18,100.00,18,100.00,56,53.85,18,100.00,2019-20
30665143037496,30,3066514,3037496,S,Troy High,Fullerton Joint Union High,Orange,635,325,309,95.08,295,90.77,646,229,227,99.13,228,99.56,291,89.54,227,99.13,2019-20
34673143432572,34,3467314,3432572,S,Elk Grove High,Elk Grove Unified,Sacramento,439,138,100,72.46,72,52.17,469,16,14,87.50,14,87.50,65,47.10,13,81.25,2019-20
49708624935151,49,4970862,4935151,S,Petaluma High,Petaluma Joint Union High,Sonoma,290,104,93,89.42,75,72.12,355,8,*,*,*,*,74,71.15,*,*,2019-20
15638261536135,15,1563826,1536135,S,Tehachapi High,Tehachapi Unified,Kern,284,62,55,88.71,41,66.13,284,2,*,*,*,*,39,62.90,*,*,2019-20
19647331930403,19,1964733,1930403,S,Whitney Young Continuation,Los Angeles Unified,Los Angeles,8,1,*,*,*,*,9,10,*,*,*,*,*,*,*,*,2019-20
34673303431533,34,3467330,3431533,S,Cordova High,Folsom-Cordova Unified,Sacramento,371,67,55,82.09,37,55.22,451,1,*,*,*,*,35,52.24,*,*,2019-20
37681713733219,37,3768171,3733219,S,Julian High,Julian Union High,San Diego,22,6,*,*,*,*,20,11,*,*,*,*,*,*,*,*,2019-20
41690474133070,41,4169047,4133070,S,Hillsdale High,San Mateo Union High,San Mateo,377,131,123,93.89,103,78.63,441,47,45,95.74,45,95.74,101,77.10,43,91.49,2019-20
49738824930384,49,4973882,4930384,S,Technology High,Cotati-Rohnert Park Unified,Sonoma,74,19,19,100.00,15,78.95,73,1,*,*,*,*,15,78.95,*,*,2019-20
50710435030879,50,5071043,5030879,S,Ceres High,Ceres Unified,Stanislaus,382,135,90,66.67,63,46.67,378,3,*,*,*,*,56,41.48,*,*,2019-20
07617540731836,07,0761754,0731836,S,Concord High,Mt. Diablo Unified,Contra Costa,306,95,71,74.74,45,47.37,322,4,*,*,*,*,43,45.26,*,*,2019-20
16639580136556,16,1663958,0136556,S,Kings Valley Academy II,Kit Carson Union Elementary,Kings,142,2,*,*,*,*,299,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
19647331931955,19,1964733,1931955,S,Ellington (Duke) High (Continuation),Los Angeles Unified,Los Angeles,13,1,*,*,*,*,20,10,*,*,*,*,*,*,*,*,2019-20
19647331932391,19,1964733,1932391,S,West Hollywood Opportunity,Los Angeles Unified,Los Angeles,11,11,*,*,*,*,19,17,1,5.88,0,0.00,*,*,0,0.00,2019-20
19647331935865,19,1964733,1935865,S,James Monroe High,Los Angeles Unified,Los Angeles,412,117,62,52.99,26,22.22,370,367,109,29.70,49,13.35,24,20.51,41,11.17,2019-20
19647331937622,19,1964733,1937622,S,San Fernando Senior High,Los Angeles Unified,Los Angeles,405,136,70,51.47,43,31.62,464,427,141,33.02,71,16.63,39,28.68,58,13.58,2019-20
19734451938935,19,1973445,1938935,S,Valley Alternative High (Continuation),Hacienda la Puente Unified,Los Angeles,83,11,*,*,*,*,20,17,0,0.00,0,0.00,*,*,0,0.00,2019-20
30736353030244,30,3073635,3030244,S,Laguna Hills High,Saddleback Valley Unified,Orange,365,87,81,93.10,65,74.71,366,37,36,97.30,33,89.19,65,74.71,33,89.19,2019-20
34752833430659,34,3475283,3430659,S,Natomas Charter,Natomas Unified,Sacramento,111,68,64,94.12,39,57.35,127,8,*,*,*,*,39,57.35,*,*,2019-20
37683383734654,37,3768338,3734654,S,Morse High,San Diego Unified,San Diego,381,117,81,69.23,56,47.86,468,34,29,85.29,26,76.47,48,41.03,25,73.53,2019-20
42772060138370,42,4277206,0138370,S,Olive Grove Charter - Lompoc,SBE - Olive Grove Charter - Lompoc,Santa Barbara,41,0,N/A,N/A,N/A,N/A,43,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
50755565036850,50,5075556,5036850,S,Riverbank High,Riverbank Unified,Stanislaus,166,57,35,61.40,14,24.56,210,1,*,*,*,*,12,21.05,*,*,2019-20
07616300733725,07,0761630,0733725,S,Las Lomas High,Acalanes Union High,Contra Costa,388,119,107,89.92,98,82.35,404,58,57,98.28,55,94.83,95,79.83,55,94.83,2019-20
19647330126474,19,1964733,0126474,S,"Hilda L. Solis Learning Academy School of Technology, Business and Education",Los Angeles Unified,Los Angeles,42,9,*,*,*,*,44,41,16,39.02,7,17.07,*,*,6,14.63,2019-20
19647330129585,19,1964733,0129585,S,NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,110,38,13,34.21,4,10.53,140,153,45,29.41,17,11.11,4,10.53,12,7.84,2019-20
