,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
0,Castro Valley Unified,781,329,0.9057999999999999,0.7659999999999999,786,154,0.961,0.9351,0.7204,0.9220999999999999,0.4212548015364917,0.19592875318066158,34.46,11860.0,114277.0,0.049,0.001,0.295,0.046,0.23399999999999999,0.004,0.243,0.1,0.027999999999999997
3,San Ramon Valley Unified,2748,1002,0.9511,0.8493,2760,838,0.9893000000000001,0.9761,0.8312999999999999,0.9714,0.3646288209606987,0.3036231884057971,108.78,11378.0,171717.0,0.017,0.003,0.40299999999999997,0.037000000000000005,0.08900000000000001,0.002,0.364,0.084,0.0
4,Sanger Unified,857,260,0.5577000000000001,0.3346,854,80,0.8375,0.7875,0.2808,0.725,0.3033838973162194,0.0936768149882904,21.93,12337.0,70134.0,0.011000000000000001,0.002,0.12,0.004,0.695,0.002,0.12300000000000001,0.027000000000000003,0.017
6,Bellflower Unified,998,226,0.7965000000000001,0.5,960,15,1.0,0.8667,0.48229999999999995,0.8667,0.22645290581162325,0.015625,20.42,13391.0,65982.0,0.125,0.004,0.038,0.044000000000000004,0.662,0.01,0.083,0.028999999999999998,0.006
7,West Covina Unified,1160,352,0.7898000000000001,0.5368999999999999,1100,26,0.8845999999999999,0.7308,0.4972,0.7308,0.30344827586206896,0.023636363636363636,17.01,14780.0,86748.0,0.078,0.004,0.09,0.033,0.6709999999999999,0.004,0.10300000000000001,0.016,0.002
8,San Rafael City High,733,234,0.8761,0.6325,715,34,0.9412,0.8824,0.6197,0.8529000000000001,0.31923601637107774,0.04755244755244755,31.7,14820.0,97421.0,0.013000000000000001,0.003,0.042,0.005,0.5770000000000001,0.002,0.33,0.026000000000000002,0.002
11,Brea-Olinda Unified,450,125,0.904,0.768,443,55,0.9818000000000001,0.9818000000000001,0.7440000000000001,0.9818000000000001,0.2777777777777778,0.12415349887133183,2.23,10352.0,94654.0,0.015,0.001,0.247,0.034,0.382,0.003,0.27699999999999997,0.04,0.002
12,Orange Unified,2152,1676,0.5095000000000001,0.3126,2199,153,0.9542,0.8954000000000001,0.30010000000000003,0.8889,0.7788104089219331,0.06957708049113233,11.98,11918.0,97336.0,0.013000000000000001,0.002,0.099,0.019,0.5660000000000001,0.003,0.255,0.032,0.011000000000000001
13,Los Alamitos Unified,752,306,0.902,0.7059000000000001,803,119,0.9915999999999999,0.8992,0.6765000000000001,0.8992,0.40691489361702127,0.14819427148194272,4.91,11866.0,85092.0,0.025,0.001,0.14,0.027999999999999997,0.27699999999999997,0.006999999999999999,0.43,0.08800000000000001,0.005
14,Tahoe-Truckee Unified,315,96,0.7604000000000001,0.6667000000000001,301,57,0.8946999999999999,0.8245999999999999,0.625,0.807,0.3047619047619048,0.1893687707641196,35.42,18822.0,80154.0,0.003,0.002,0.005,0.0,0.36,0.001,0.585,0.036000000000000004,0.006999999999999999
15,Hemet Unified,1848,1232,0.4253,0.1989,1761,19,0.47369999999999995,0.5263,0.18510000000000001,0.4211,0.6666666666666666,0.010789324247586598,37.2,14843.0,46293.0,0.086,0.008,0.01,0.009000000000000001,0.632,0.003,0.21100000000000002,0.040999999999999995,0.0
18,Victor Valley Union High,2063,482,0.6162,0.31120000000000003,1995,1504,0.41359999999999997,0.2114,0.29460000000000003,0.1935,0.23364032961706252,0.7538847117794486,33.7,13948.0,53356.0,0.16699999999999998,0.004,0.017,0.01,0.677,0.006,0.07400000000000001,0.035,0.01
19,Snowline Joint Unified,544,124,0.7903,0.5403,590,16,0.9375,0.9375,0.5161,0.875,0.22794117647058823,0.02711864406779661,27.26,12695.0,64394.0,0.047,0.005,0.011000000000000001,0.004,0.528,0.002,0.317,0.013000000000000001,0.073
20,San Francisco Unified,4428,2043,0.7425,0.6324000000000001,4483,616,0.9448000000000001,0.9318000000000001,0.5815,0.9091,0.4613821138211382,0.13740798572384563,68.26,17228.0,112449.0,0.07400000000000001,0.003,0.298,0.038,0.319,0.008,0.14400000000000002,0.064,0.051
23,Morgan Hill Unified,678,264,0.7955,0.6742,682,84,0.9643,0.8809999999999999,0.6325999999999999,0.8571,0.3893805309734513,0.12316715542521994,47.47,11628.0,125073.0,0.013999999999999999,0.005,0.08900000000000001,0.026000000000000002,0.505,0.003,0.28600000000000003,0.049,0.022000000000000002
27,Oak Park Unified,404,134,0.9776,0.8731,410,98,0.9898,1.0,0.8582,0.9898,0.3316831683168317,0.23902439024390243,49.39,10394.0,132665.0,0.018000000000000002,0.002,0.255,0.018000000000000002,0.10400000000000001,0.001,0.532,0.07,0.0
29,Albany City Unified,258,91,0.9451,0.9451,298,52,1.0,0.9808,0.9340999999999999,0.9808,0.35271317829457366,0.174496644295302,20.89,13548.0,95783.0,0.034,0.002,0.28800000000000003,0.011000000000000001,0.165,0.001,0.28800000000000003,0.14,0.07200000000000001
35,Fortuna Union High,230,70,0.7857,0.5143,279,18,0.8889,0.7222,0.5143,0.6667000000000001,0.30434782608695654,0.06451612903225806,46.46,13320.0,47053.0,0.004,0.044000000000000004,0.011000000000000001,0.002,0.27,0.001,0.602,0.064,0.003
38,Delano Joint Union High,1022,271,0.5129,0.3395,1102,18,0.7778,0.6111,0.2768,0.6111,0.2651663405088063,0.016333938294010888,47.94,14460.0,40251.0,0.004,0.001,0.008,0.09,0.878,0.001,0.015,0.003,0.0
42,Antelope Valley Union High,5585,1028,0.6448999999999999,0.2918,5273,3842,0.41590000000000005,0.2043,0.2792,0.1864,0.18406445837063562,0.7286174853024844,28.34,13693.0,58602.0,0.16399999999999998,0.002,0.012,0.013999999999999999,0.648,0.001,0.111,0.047,0.001
43,Arcadia Unified,823,350,0.8914,0.8686,798,303,0.9934000000000001,0.9769,0.8114,0.9703,0.425273390036452,0.37969924812030076,11.57,12188.0,95684.0,0.017,0.001,0.647,0.032,0.161,0.001,0.107,0.027000000000000003,0.006999999999999999
44,Norwalk-La Mirada Unified,1387,293,0.6724,0.3993,1352,1174,0.4514,0.2325,0.3754,0.2138,0.21124729632299927,0.8683431952662722,0.39,13962.0,77957.0,0.023,0.002,0.043,0.027999999999999997,0.797,0.004,0.071,0.019,0.012
45,Compton Unified,1337,848,0.32780000000000004,0.1167,1321,956,0.318,0.1402,0.1002,0.1266,0.6342557965594615,0.7236941710825132,23.51,15206.0,54613.0,0.193,0.002,0.001,0.0,0.7829999999999999,0.005,0.002,0.004,0.01
46,Newport-Mesa Unified,1740,361,0.7812,0.59,1755,103,0.9709,0.9515,0.5596,0.932,0.2074712643678161,0.05868945868945869,39.11,15125.0,101383.0,0.008,0.001,0.048,0.008,0.46299999999999997,0.005,0.41200000000000003,0.05,0.005
47,Santa Ana Unified,4240,2823,0.3843,0.27449999999999997,4019,123,0.9431,0.9187000000000001,0.23800000000000002,0.9024,0.6658018867924528,0.03060462801691963,8.8,14679.0,68140.0,0.002,0.003,0.02,0.002,0.9590000000000001,0.002,0.009000000000000001,0.003,0.001
48,Palm Springs Unified,1842,541,0.6043999999999999,0.3383,1738,193,0.7047,0.41450000000000004,0.3179,0.3886,0.2937024972855592,0.11104718066743383,34.32,14904.0,48120.0,0.045,0.005,0.008,0.019,0.799,0.001,0.099,0.025,0.0
49,Sacramento City Unified,3219,695,0.6920999999999999,0.4547,3084,2338,0.4966,0.3212,0.4158,0.2943,0.21590556073314693,0.75810635538262,20.35,14667.0,59648.0,0.139,0.005,0.17,0.013999999999999999,0.41,0.02,0.16399999999999998,0.07400000000000001,0.004
51,Rialto Unified,2046,483,0.5672999999999999,0.39130000000000004,1864,1638,0.35960000000000003,0.1789,0.34369999999999995,0.15810000000000002,0.23607038123167157,0.878755364806867,22.65,14090.0,60828.0,0.083,0.002,0.006,0.004,0.861,0.004,0.027999999999999997,0.012,0.0
52,San Marcos Unified,1626,505,0.8395999999999999,0.5743,1611,228,0.9473999999999999,0.8245999999999999,0.5624,0.807,0.3105781057810578,0.14152700186219738,4.26,11775.0,86027.0,0.001,0.016,0.055,0.023,0.45899999999999996,0.004,0.39299999999999996,0.049,0.0
56,East Nicolaus Joint Union High,75,35,0.4857,0.2,79,18,0.5556,0.16670000000000001,0.2,0.16670000000000001,0.4666666666666667,0.22784810126582278,23.2,12096.0,70400.0,0.013000000000000001,0.01,0.036000000000000004,0.003,0.188,0.01,0.657,0.045,0.039
58,Hayward Unified,1699,505,0.5761999999999999,0.3446,1647,17,0.9412,0.8234999999999999,0.3109,0.8234999999999999,0.2972336668628605,0.010321797207043109,14.72,14523.0,86336.0,0.078,0.002,0.084,0.07,0.647,0.032,0.045,0.04,0.004
59,San Lorenzo Unified,1014,315,0.746,0.5524,1094,17,1.0,1.0,0.5206000000000001,1.0,0.3106508875739645,0.015539305301645339,0.31,13748.0,79082.0,0.08199999999999999,0.003,0.161,0.067,0.5660000000000001,0.016,0.067,0.031,0.006999999999999999
60,Dublin Unified,789,294,0.9251999999999999,0.8197,814,278,0.982,0.9676,0.7959,0.9568000000000001,0.3726235741444867,0.3415233415233415,76.64,10903.0,150299.0,0.028999999999999998,0.001,0.58,0.05,0.09300000000000001,0.004,0.17,0.073,0.001
62,Liberty Union High,2090,594,0.8148000000000001,0.5740999999999999,2038,273,0.9048,0.7545999999999999,0.5488000000000001,0.7436,0.28421052631578947,0.133954857703631,29.63,12113.0,109430.0,0.086,0.006,0.049,0.055999999999999994,0.368,0.006999999999999999,0.37200000000000005,0.048,0.008
69,Lassen Union High,176,41,0.7561,0.46340000000000003,180,26,0.7692,0.7308,0.439,0.6923,0.23295454545454544,0.14444444444444443,30.98,12816.0,61034.0,0.012,0.044000000000000004,0.006999999999999999,0.006999999999999999,0.20800000000000002,0.017,0.618,0.071,0.016
70,El Segundo Unified,298,115,0.9043000000000001,0.7652,320,29,1.0,0.9309999999999999,0.713,0.9309999999999999,0.3859060402684564,0.090625,26.38,11604.0,109577.0,0.039,0.002,0.076,0.015,0.22399999999999998,0.003,0.484,0.156,0.0
73,Merced Union High,2639,665,0.6225999999999999,0.3128,2664,149,0.7718,0.4765,0.2977,0.45640000000000003,0.2519893899204244,0.05593093093093093,34.48,14146.0,51793.0,0.037000000000000005,0.005,0.078,0.008,0.706,0.003,0.146,0.009000000000000001,0.008
76,Corona-Norco Unified,4429,1647,0.7845,0.5719,4369,291,0.9519,0.8865999999999999,0.5471,0.8729,0.37186723865432375,0.06660563057907988,6.54,11658.0,94613.0,0.057999999999999996,0.003,0.113,0.032,0.536,0.004,0.225,0.021,0.006999999999999999
77,San Juan Unified,4598,862,0.7831,0.5684,4238,225,0.8622,0.7556,0.5394,0.7289,0.18747281426707263,0.053091080698442664,25.22,13148.0,63640.0,0.07,0.006,0.078,0.01,0.254,0.006,0.49700000000000005,0.07200000000000001,0.006
82,Lompoc Unified,632,79,0.8861,0.6203,685,522,0.5153,0.3046,0.6076,0.2759,0.125,0.762043795620438,31.11,12456.0,62740.0,0.022000000000000002,0.005,0.016,0.013000000000000001,0.688,0.002,0.207,0.046,0.001
85,Sutter Union High,181,43,0.7442,0.5814,206,21,0.8095,0.7619,0.5349,0.7143,0.23756906077348067,0.10194174757281553,27.03,11227.0,71914.0,0.002,0.016,0.027999999999999997,0.001,0.275,0.001,0.619,0.057,0.0
86,Corning Union High,255,18,0.5556,0.44439999999999996,249,69,0.6667000000000001,0.4203,0.3333,0.4058,0.07058823529411765,0.27710843373493976,44.77,13720.0,46302.0,0.005,0.016,0.016,0.004,0.622,0.001,0.303,0.013000000000000001,0.02
89,Simi Valley Unified,1491,349,0.8825,0.616,1372,102,0.9902,0.9314,0.6074,0.9216,0.2340710932260228,0.07434402332361516,11.95,11607.0,98876.0,0.011000000000000001,0.001,0.08,0.021,0.4,0.001,0.436,0.047,0.003
