,school_district,score,expenditures_for_public_elementary_and_secondary_schools_per_pupil,income_by_school_district
115,Abc Unified,8.12,"$12,189","$81,101"
840,Acalanes Union High,77.56,"$15,267","$129,146"
470,Acton-Agua Dulce Unified,32.54,"$14,318","$100,556"
434,Adelanto Elementary,30.62,"$12,993","$60,414"
467,Alameda Unified,32.25,"$13,436","$104,756"
294,Albany City Unified,20.89,"$13,548","$95,783"
846,Alexander Valley Union Elementary,85.03,"$21,282","$104,583"
293,Alhambra Unified,20.86,"$14,392","$60,647"
508,Alisal Union,35.12,"$12,215","$60,978"
826,Allensworth Elementary,71.76,"$12,341","$33,214"
652,Alpaugh Unified,46.94,"$14,458","$41,000"
903,Alpine County Unified,179.87,"$43,481","$63,750"
109,Alpine Union Elementary,7.61,"$10,833","$88,263"
71,Alta Loma Elementary,4.82,"$10,389","$99,689"
804,Alta Vista Elementary,65.01,"$13,211","$33,859"
50,Alta-Dutch Flat Union Elementary,3.63,"$15,515","$73,162"
242,Alum Rock Union Elementary,17.27,"$16,178","$79,946"
777,Alview-Dairyland Union Elementary,59.99,"$11,259","$47,344"
166,Alvord Unified,11.26,"$13,771","$70,862"
669,Amador County Unified,48.41,"$9,890","$62,772"
256,Anaheim Elementary,18.57,"$13,560","$66,504"
205,Anaheim Union High,14.19,"$13,449","$70,303"
555,Anderson Union High,39.02,"$12,566","$56,332"
298,Anderson Valley Unified,21.25,"$17,184","$46,386"
833,Antelope Elementary,74.8,"$10,943","$37,956"
399,Antelope Valley Union High,28.34,"$13,693","$58,602"
87,Antioch Unified,6.29,"$13,551","$75,642"
743,Apple Valley Unified,55.27,"$10,396","$55,159"
172,Arcadia Unified,11.57,"$12,188","$95,684"
806,Arcata Elementary,65.46,"$12,660","$36,287"
91,Arcohe Union Elementary,6.49,"$11,156","$87,477"
602,Armona Union Elementary,42.79,"$13,266","$50,043"
140,Aromas - San Juan Unified,9.83,"$12,068","$95,000"
758,Arvin Union,57.44,"$13,360","$38,721"
209,Atascadero Unified,14.5,"$11,288","$80,884"
717,Atwater Elementary,52.68,"$10,756","$55,277"
366,Auburn Union Elementary,25.28,"$12,385","$67,410"
30,Azusa Unified,2.08,"$15,088","$71,068"
117,Baker Valley Unified,8.35,"$22,888","$27,404"
636,Bakersfield City,45.61,"$14,646","$41,047"
184,Baldwin Park Unified,12.64,"$14,543","$65,978"
863,Ballard Elementary,104.24,"$18,061","$134,924"
268,Ballico-Cressey Elementary,19.19,"$12,180","$72,946"
643,Bangor Union Elementary,46.12,"$14,520","$41,304"
668,Banning Unified,48.09,"$13,707","$43,906"
624,Banta Elementary,44.36,"$17,452","$93,631"
742,Barstow Unified,55.26,"$12,804","$43,117"
660,Bass Lake Joint Union Elementary,47.59,"$11,191","$56,864"
206,Bassett Unified,14.38,"$13,621","$69,300"
498,Bayshore Elementary,34.34,"$16,879","$89,074"
650,Bear Valley Unified,46.85,"$12,197","$52,384"
828,Beardsley Elementary,72.27,"$12,820","$30,445"
262,Beaumont Unified,18.8,"$11,807","$75,103"
435,Bella Vista Elementary,30.65,"$12,127","$64,726"
418,Belleview Elementary,29.45,"$13,519","$58,654"
246,Bellevue Union,17.69,"$14,071","$64,601"
286,Bellflower Unified,20.42,"$13,391","$65,982"
862,Belmont-Redwood Shores Elementary,101.74,"$12,393","$161,430"
853,Belridge Elementary,91.61,"$30,667","$62,500"
192,Benicia Unified,13.06,"$10,914","$103,163"
292,Bennett Valley Union Elementary,20.84,"$11,660","$105,191"
465,Berkeley Unified,32.14,"$17,280","$85,444"
700,Berryessa Union Elementary,50.56,"$12,462","$123,184"
841,Beverly Hills Unified,77.88,"$19,769","$106,857"
849,Big Creek Elementary,90.05,"$28,022","$74,583"
790,Big Lagoon Union Elementary,62.46,"$29,316","$47,679"
201,Big Oak Flat-Groveland Unified,13.78,"$18,352","$66,486"
837,Big Pine Unified,75.7,"$30,066","$53,730"
705,Big Springs Union Elementary,50.93,"$11,379","$53,452"
851,Big Sur Unified,90.92,"$8,233","$39,583"
33,Big Valley Joint Unified,2.34,"$20,402","$44,293"
417,Biggs Unified,29.27,"$12,218","$65,292"
483,Bishop Unified,33.45,"$11,871","$63,934"
272,Bitterwater-Tully Elementary,19.36,"$10,371","$81,875"
530,Black Butte Union Elementary,36.84,"$14,148","$50,032"
348,Black Oak Mine Unified,24.32,"$11,581","$72,146"
345,Blake Elementary,24.19,"$16,692","$82,500"
65,Blochman Union Elementary,4.52,"$11,481","$94,000"
416,Blue Lake Union Elementary,29.12,"$14,899","$51,994"
409,Bogus Elementary,28.77,"$15,278","$50,357"
915,Bolinas-Stinson Union,272.39,"$52,511","$87,083"
79,Bonita Unified,5.69,"$11,358","$87,054"
548,Bonny Doon Union Elementary,38.73,"$13,485","$109,306"
227,Bonsall Unified,16.13,"$11,208","$103,966"
158,Borrego Springs Unified,10.83,"$18,028","$49,883"
203,Bradley Union Elementary,13.83,"$16,324","$76,667"
670,Brawley Elementary,48.41,"$13,926","$42,573"
662,Brawley Union High,47.62,"$14,081","$42,384"
32,Brea-Olinda Unified,2.23,"$10,352","$94,654"
318,Brentwood Union Elementary,22.55,"$11,198","$108,769"
92,Bret Harte Union High,6.51,"$17,977","$62,973"
259,Bridgeville Elementary,18.69,"$22,655","$48,594"
307,Briggs Elementary,21.91,"$11,837","$72,647"
845,Brisbane Elementary,82.58,"$17,981","$119,281"
592,Brittan Elementary,41.97,"$9,220","$70,888"
364,Browns Elementary,25.21,"$12,720","$103,125"
331,Buckeye Union Elementary,23.21,"$10,926","$110,615"
642,Buellton Union Elementary,46.05,"$18,315","$90,560"
128,Buena Park Elementary,9.04,"$13,609","$73,313"
820,Buena Vista Elementary,68.66,"$10,777","$43,333"
228,Burbank Unified,16.14,"$12,056","$75,827"
732,Burlingame Elementary,54.52,"$11,885","$129,006"
359,Burnt Ranch Elementary,24.86,"$17,333","$42,969"
478,Burrel Union Elementary,33,"$15,598","$45,625"
424,Burton Elementary,29.77,"$12,564","$63,193"
722,Butte Valley Unified,53.4,"$14,772","$34,648"
531,Butteville Union Elementary,36.85,"$10,482","$68,365"
549,Buttonwillow Union Elementary,38.84,"$16,074","$38,917"
711,Byron Union Elementary,52.2,"$11,896","$127,233"
815,Cabrillo Unified,67.45,"$12,773","$134,138"
338,Cajon Valley Union,23.71,"$13,136","$64,818"
408,Calaveras Unified,28.76,"$12,559","$63,967"
651,Calexico Unified,46.92,"$13,961","$43,504"
573,Caliente Union Elementary,40.49,"$16,122","$37,452"
727,Calipatria Unified,53.92,"$15,099","$32,625"
719,Calistoga Joint Unified,53.13,"$20,461","$85,067"
615,Cambrian,43.6,"$11,134","$124,674"
494,Camino Union Elementary,33.97,"$11,694","$64,438"
512,Campbell Union,35.49,"$13,527","$106,695"
710,Campbell Union High,52.01,"$13,624","$118,447"
577,Camptonville Elementary,40.91,"$18,042","$88,125"
400,Canyon Elementary,28.35,"$13,559","$101,250"
729,Capay Joint Union Elementary,54.16,"$9,312","$61,406"
404,Capistrano Unified,28.42,"$10,665","$115,783"
767,Cardiff Elementary,58.54,"$16,099","$110,898"
161,Carlsbad Unified,10.93,"$11,270","$99,805"
847,Carmel Unified,88.29,"$24,026","$93,269"
144,Carpinteria Unified,10.24,"$14,972","$80,771"
629,Caruthers Unified,44.92,"$13,779","$45,893"
580,Cascade Union Elementary,41.33,"$14,765","$43,624"
371,Castaic Union,25.63,"$10,823","$112,926"
485,Castle Rock Union Elementary,33.47,"$15,625","$45,139"
500,Castro Valley Unified,34.46,"$11,860","$114,277"
291,Cayucos Elementary,20.77,"$19,756","$64,635"
136,Center Joint Unified,9.48,"$12,916","$76,455"
213,Centinela Valley Union High,15.12,"$16,522","$54,242"
397,Central Elementary,28.18,"$11,154","$71,427"
476,Central Unified,32.81,"$11,995","$63,792"
357,Central Union Elementary,24.75,"$15,290","$53,275"
590,Central Union High,41.9,"$13,804","$48,005"
45,Centralia Elementary,3.13,"$13,146","$80,010"
503,Ceres Unified,34.78,"$12,822","$58,193"
86,Chaffey Joint Union High,6.2,"$13,298","$76,972"
40,Charter Oak Unified,2.88,"$12,980","$81,022"
613,Chatom Union,43.51,"$13,495","$48,363"
537,Chawanakee Unified,37.27,"$11,561","$62,656"
589,Chicago Park Elementary,41.88,"$10,536","$64,375"
463,Chico Unified,32,"$13,350","$57,611"
1,Chino Valley Unified,0.05,"$10,931","$93,442"
680,Chowchilla Elementary,49.1,"$11,427","$54,571"
575,Chowchilla Union High,40.67,"$12,769","$54,094"
479,Chualar Union,33.03,"$14,107","$53,059"
226,Chula Vista Elementary,16.09,"$10,900","$81,646"
31,Cienega Union Elementary,2.18,"$14,600","$73,438"
414,Cinnabar Elementary,29.04,"$15,910","$90,000"
200,Claremont Unified,13.58,"$12,213","$97,052"
721,Clay Joint Elementary,53.37,"$10,109","$58,000"
502,Clear Creek Elementary,34.65,"$10,656","$69,125"
120,Cloverdale Unified,8.51,"$13,820","$72,649"
118,Clovis Unified,8.38,"$11,404","$84,832"
695,Coachella Valley Unified,50.09,"$14,846","$36,729"
661,Coalinga-Huron Unified,47.59,"$13,147","$47,078"
568,Coast Unified,40.27,"$21,927","$68,214"
825,Coffee Creek Elementary,71.16,"$30,556","$47,917"
898,Cold Spring Elementary,161.82,"$23,320","$151,250"
477,Colfax Elementary,32.82,"$12,731","$60,101"
415,College Elementary,29.04,"$17,387","$82,614"
452,Colton Joint Unified,31.33,"$12,720","$61,254"
327,Columbia Elementary,23.04,"$12,956","$66,212"
807,Columbia Union,65.62,"$11,581","$41,563"
824,Columbine Elementary,69.6,"$10,505","$44,000"
676,Colusa Unified,48.93,"$11,553","$54,067"
334,Compton Unified,23.51,"$15,206","$54,613"
358,Conejo Valley Unified,24.8,"$11,119","$110,829"
773,Corcoran Joint Unified,59.26,"$13,054","$38,906"
737,Corning Union Elementary,55.13,"$12,275","$45,864"
627,Corning Union High,44.77,"$13,720","$46,302"
93,Corona-Norco Unified,6.54,"$11,658","$94,613"
582,Coronado Unified,41.4,"$13,948","$108,967"
180,Cotati-Rohnert Park Unified,12.29,"$13,081","$73,549"
585,Cottonwood Union Elementary,41.74,"$11,968","$57,312"
112,Covina-Valley Unified,7.78,"$13,698","$73,801"
238,Cucamonga Elementary,16.91,"$13,979","$65,634"
462,Cuddeback Union Elementary,31.97,"$11,604","$66,364"
129,Culver City Unified,9.09,"$11,949","$95,044"
871,Cupertino Union,109.98,"$12,291","$168,037"
524,Curtis Creek Elementary,36.64,"$11,436","$63,750"
724,Cutler-Orosi Joint Unified,53.54,"$13,922","$38,797"
715,Cutten Elementary,52.48,"$9,930","$59,557"
132,Cuyama Joint Unified,9.27,"$19,155","$45,395"
81,Cypress Elementary,5.77,"$11,127","$96,702"
287,Davis Joint Unified,20.53,"$12,987","$67,918"
904,Death Valley Unified,182.67,"$49,857","$33,922"
889,Dehesa Elementary,135.2,"$28,138","$107,429"
872,Del Mar Union Elementary,110.58,"$15,584","$152,009"
656,Del Norte County Unified,47.29,"$13,551","$45,283"
665,Delano Joint Union High,47.94,"$14,460","$40,251"
562,Delano Union Elementary,39.72,"$14,966","$43,811"
394,Delhi Unified,27.32,"$13,804","$58,800"
315,Delphic Elementary,22.36,"$13,550","$63,750"
222,Denair Unified,15.74,"$13,962","$89,897"
892,Desert Center Unified,140.1,"$43,862","$32,396"
456,Desert Sands Unified,31.78,"$13,157","$58,738"
831,Di Giorgio Elementary,74.26,"$11,906","$33,542"
748,Dinuba Unified,55.74,"$12,543","$44,065"
68,Dixon Unified,4.77,"$12,277","$83,143"
704,Dos Palos Oro Loma Joint Unified,50.92,"$13,281","$43,942"
760,Douglas City Elementary,57.73,"$12,331","$43,654"
114,Downey Unified,8.08,"$13,423","$74,957"
110,Dry Creek Joint Elementary,7.63,"$10,534","$89,743"
22,Duarte Unified,1.68,"$14,365","$74,984"
838,Dublin Unified,76.64,"$10,903","$150,299"
811,Ducor Union Elementary,66.8,"$13,542","$30,882"
189,Dunham Elementary,12.88,"$12,768","$93,750"
674,Dunsmuir Elementary,48.69,"$15,456","$34,716"
832,Dunsmuir Joint Union High,74.55,"$33,459","$35,905"
312,Durham Unified,22.13,"$11,501","$74,167"
780,Earlimart Elementary,60.87,"$13,977","$33,092"
330,East Nicolaus Joint Union High,23.2,"$12,096","$70,400"
466,East Side Union High,32.15,"$13,317","$105,274"
26,East Whittier City Elementary,1.86,"$12,032","$86,520"
787,Eastern Sierra Unified,61.99,"$26,846","$59,688"
587,Eastside Union Elementary,41.83,"$13,496","$49,603"
163,Edison Elementary,11.01,"$14,633","$66,731"
684,El Centro Elementary,49.35,"$13,513","$43,948"
83,El Dorado Union High,5.97,"$12,260","$91,182"
252,El Monte City,18.27,"$16,558","$51,723"
369,El Monte Union High,25.52,"$15,285","$52,729"
464,El Nido Elementary,32.09,"$14,028","$54,148"
270,El Rancho Unified,19.31,"$13,058","$68,467"
381,El Segundo Unified,26.38,"$11,604","$109,577"
706,El Tejon Unified,51.07,"$12,635","$47,066"
105,Elk Grove Unified,7.49,"$12,557","$79,728"
817,Elk Hills Elementary,68.01,"$10,791","$43,750"
153,Elkins Elementary,10.67,"$19,077","$44,750"
103,Elverta Joint Elementary,7.09,"$12,239","$81,613"
781,Emery Unified,60.88,"$18,079","$102,725"
440,Empire Union Elementary,30.81,"$13,157","$59,458"
756,Encinitas Union Elementary,57.22,"$12,838","$126,239"
488,Enterprise Elementary,33.63,"$13,571","$55,296"
459,Escalon Unified,31.86,"$10,769","$70,625"
211,Escondido Union,14.78,"$13,957","$67,323"
96,Escondido Union High,6.72,"$14,895","$68,598"
51,Esparto Unified,3.71,"$14,026","$75,176"
390,Etiwanda Elementary,26.93,"$11,243","$111,790"
708,Eureka City Schools,51.35,"$12,986","$45,100"
601,Eureka Union,42.78,"$10,943","$125,027"
770,Evergreen Elementary,58.66,"$11,309","$134,950"
728,Evergreen Union,54.06,"$11,684","$49,611"
663,Exeter Unified,47.81,"$12,964","$47,832"
747,Fairfax Elementary,55.69,"$12,898","$42,329"
164,Fairfield-Suisun Unified,11.18,"$11,182","$83,874"
536,Fall River Joint Unified,37.24,"$14,288","$49,037"
196,Fallbrook Union Elementary,13.48,"$13,864","$68,750"
88,Fallbrook Union High,6.36,"$14,957","$68,553"
707,Farmersville Unified,51.24,"$14,092","$39,650"
879,Feather Falls Union Elementary,115.03,"$42,300","$21,648"
438,Ferndale Unified,30.76,"$14,846","$51,045"
403,Fieldbrook Elementary,28.42,"$11,168","$71,176"
100,Fillmore Unified,6.86,"$13,555","$75,201"
678,Firebaugh-Las Deltas Unified,48.98,"$14,738","$38,094"
664,Flournoy Union Elementary,47.92,"$12,714","$49,000"
17,Folsom-Cordova Unified,1.13,"$11,775","$88,346"
190,Fontana Unified,12.93,"$15,045","$63,253"
123,Foresthill Union Elementary,8.83,"$12,150","$80,772"
243,Forestville Union Elementary,17.28,"$18,772","$66,971"
558,Forks Of Salmon Elementary,39.18,"$30,778","$23,125"
521,Fort Bragg Unified,36.4,"$14,147","$50,363"
881,Fort Ross Elementary,115.92,"$34,952","$59,063"
638,Fort Sage Unified,45.77,"$12,458","$51,875"
679,Fortuna Elementary,49.07,"$13,054","$46,453"
645,Fortuna Union High,46.46,"$13,320","$47,053"
13,Fountain Valley Elementary,0.95,"$10,331","$97,113"
567,Fowler Unified,40.26,"$13,169","$52,399"
378,Franklin Elementary,26.04,"$9,788","$79,844"
9,Franklin-Mckinley Elementary,0.63,"$14,337","$75,898"
769,Fremont Unified,58.64,"$11,629","$133,339"
883,Fremont Union High,117.22,"$15,994","$154,876"
35,French Gulch-Whiskeytown Elementary,2.58,"$20,522","$43,516"
480,Freshwater Elementary,33.18,"$13,343","$56,771"
628,Fresno Unified,44.87,"$14,625","$41,704"
413,Fruitvale Elementary,28.98,"$10,490","$74,154"
80,Fullerton Elementary,5.77,"$12,242","$82,576"
125,Fullerton Joint Union High,8.97,"$12,063","$81,100"
225,Galt Joint Union Elementary,15.98,"$12,064","$75,907"
29,Galt Joint Union High,2.08,"$14,169","$75,670"
220,Garden Grove Unified,15.49,"$13,564","$68,762"
249,Garfield Elementary,17.88,"$13,453","$94,028"
224,Garvey Elementary,15.94,"$16,755","$52,463"
447,Gateway Unified,31.08,"$15,276","$48,654"
563,Gazelle Union Elementary,39.74,"$15,000","$43,625"
49,General Shafter Elementary,3.5,"$18,252","$59,375"
632,Gerber Union Elementary,45.12,"$13,902","$45,134"
810,Geyserville Unified,66.53,"$19,039","$102,109"
342,Gilroy Unified,24.01,"$12,490","$103,388"
313,Glendale Unified,22.17,"$12,505","$69,114"
